FID,TRACT,EJ_Area
0,20300,0
1,40400,1
2,70900,1
3,110200,1
4,140500,1
5,190300,0
6,260900,1
7,270100,0
8,300100,1
9,402000,0
10,411000,0
11,417100,0
12,428100,0
13,431100,0
14,401200,1
15,405000,0
16,407002,0
17,412002,0
18,413500,1
19,415002,0
20,419000,0
21,425000,0
22,426700,0
23,427000,0
24,429300,0
25,430100,0
26,434000,0
27,439000,0
28,449000,0
29,451104,0
30,451300,0
31,453004,0
32,458000,0
33,459201,0
34,468800,0
35,470600,1
36,472400,0
37,473300,0
38,474102,0
39,475303,0
40,475401,0
41,476200,0
42,480101,1
43,480300,0
44,484300,0
45,487000,0
46,488300,0
47,488400,0
48,488500,0
49,488600,0
50,490003,0
51,490004,0
52,491200,0
53,492700,1
54,495000,0
55,496101,0
56,496102,0
57,510000,1
58,515300,1
59,516100,0
60,521200,0
61,521302,0
62,521500,0
63,523702,0
64,524000,1
65,525300,0
66,526301,0
67,552400,1
68,560500,0
69,561500,1
70,562500,1
71,562700,1
72,563000,1
73,563900,0
74,980100,0
75,980700,0
76,51000,1
77,120800,1
78,250300,1
79,310300,0
80,446000,0
81,469000,0
82,473602,0
83,492800,1
84,551900,1
85,90300,1
86,40600,1
87,60500,0
88,70500,1
89,80400,1
90,101100,1
91,101600,1
92,120300,1
93,130200,1
94,130600,1
95,140800,0
96,141300,0
97,170600,1
98,191400,0
99,191700,0
100,220600,1
101,241200,0
102,250900,1
103,260200,1
104,260700,1
105,261500,1
106,262000,1
107,270400,1
108,270800,0
109,281400,1
110,290100,0
111,290200,1
112,50600,1
113,111400,1
114,250700,1
115,281500,0
116,423000,0
117,462100,1
118,482500,0
119,494000,0
120,507000,0
121,523400,1
122,80600,0
123,561900,1
124,80200,0
125,141100,0
126,210700,1
127,417200,0
128,460002,0
129,468900,0
130,480102,0
131,515401,0
132,552200,1
133,981100,0
134,481000,1
135,490002,0
136,492900,1
137,508000,1
138,514000,1
139,516200,0
140,523100,1
141,550900,1
142,464300,0
143,465600,0
144,472200,0
145,561100,1
146,564100,0
147,474203,0
148,30500,1
149,50100,1
150,70300,0
151,80700,1
152,101700,1
153,120400,1
154,140300,0
155,151700,0
156,191100,0
157,202200,1
158,320600,0
159,406000,0
160,410000,0
161,413400,0
162,418000,0
163,420000,0
164,429201,0
165,430200,0
166,432400,1
167,450700,0
168,455000,0
169,459202,0
170,462600,1
171,464400,1
172,471000,0
173,472100,0
174,473500,0
175,475301,0
176,478100,0
177,483800,1
178,486900,1
179,501000,0
180,513800,1
181,521100,0
182,523300,1
183,525100,0
184,526302,0
185,552300,1
186,560600,1
187,562600,1
188,564200,0
189,982200,0
190,451102,0
191,451105,0
192,452000,0
193,453003,0
194,456004,0
195,457200,0
196,459101,0
197,459102,0
198,461000,0
199,463900,1
200,465800,0
201,468700,0
202,470300,0
203,40200,1
204,40500,1
205,40900,1
206,51100,1
207,470400,0
208,470502,0
209,473100,0
210,473200,0
211,473401,0
212,474101,0
213,474202,0
214,475101,0
215,475200,0
216,476100,0
217,60300,1
218,70600,0
219,70800,1
220,90100,1
221,100500,1
222,101400,0
223,110600,0
224,111500,1
225,120700,1
226,130100,1
227,140100,1
228,140400,0
229,140600,0
230,141000,0
231,475304,0
232,141400,0
233,160800,1
234,170200,1
235,180300,1
236,191600,1
237,191800,0
238,192000,0
239,240600,1
240,290400,0
241,310200,0
242,477100,0
243,477300,0
244,479000,0
245,480200,0
246,480400,0
247,484500,0
248,485000,0
249,497000,0
250,499300,0
251,499400,0
252,517000,1
253,519000,0
254,520002,0
255,521301,0
256,521402,0
257,522000,0
258,320400,0
259,401300,0
260,404000,0
261,407001,0
262,409000,0
263,412001,0
264,413100,0
265,413201,0
266,414101,0
267,414200,0
268,509400,0
269,512000,1
270,512800,1
271,515100,1
272,523200,1
273,523501,1
274,523701,0
275,526101,0
276,526202,0
277,551200,1
278,551300,0
279,415001,0
280,416000,0
281,421200,0
282,422000,0
283,426300,0
284,523800,0
285,525200,0
286,426800,0
287,427100,0
288,427200,0
289,429202,0
290,552000,1
291,560400,1
292,561000,1
293,561200,1
294,561600,1
295,562300,1
296,562400,1
297,562800,0
298,563100,0
299,563300,0
300,563800,0
301,429600,0
302,431400,0
303,431500,0
304,435000,0
305,447000,0
306,448000,0
307,564000,0
308,980000,0
309,403500,1
310,460001,0
311,503002,0
312,130300,1
313,180700,1
314,401100,0
315,408001,0
316,413300,0
317,426400,0
318,429400,0
319,445500,0
320,191500,1
321,424000,1
322,473601,0
323,80900,0
324,111300,1
325,130400,1
326,140200,0
327,160900,1
328,261200,0
329,270300,1
330,320700,0
331,90200,0
332,151600,0
333,202300,0
334,191900,0
335,408002,0
336,428200,0
337,429100,0
338,429700,0
339,432300,0
340,437000,0
341,450800,1
342,456001,0
343,470501,1
344,473402,0
345,475102,0
346,478200,0
347,484600,0
348,414102,0
349,488200,0
350,489001,0
351,491101,0
352,496200,0
353,498000,0
354,512900,1
355,271500,1
356,413202,0
357,421100,0
358,429500,0
359,457100,0
360,261400,1
361,526102,0
362,552100,1
363,561700,1
364,563200,1
365,515200,1
366,520001,0
367,477200,0
368,486800,1
369,488100,0
370,489002,0
371,500300,0
372,518001,0
373,523502,0
374,562000,1
375,564500,0
376,521401,0
377,523600,1
378,526201,0
379,561400,1
380,562900,1
381,564400,0
382,451101,0
383,456003,0
384,472300,0
385,20100,1
386,474201,0
387,475402,0
388,486700,1
389,504100,1
390,10300,1
391,50900,1
392,101800,0
